MovieID,StaffID,RoleID
1,450,1
1,1208,3
1,683,30
1,1085,13
1,30,41
1,1220,27
1,230,13
1,1418,39
1,196,8
1,467,8
1,1075,38
1,220,15
1,734,44
1,235,16
2,1239,1
2,1894,3
2,394,9
2,506,20
2,1467,25
2,866,3
2,1420,39
2,1263,23
3,216,1
3,736,3
3,1456,11
3,559,10
3,283,3
3,1727,2
3,474,23
3,1153,6
3,1643,18
3,1333,28
3,569,25
3,73,22
3,845,12
4,814,1
4,739,3
4,1057,45
4,236,3
4,1421,2
4,1802,38
4,1864,7
4,777,45
4,1431,29
4,1643,45
4,1002,3
4,756,50
4,20,29
4,1248,18
5,1701,1
5,1696,3
5,1101,40
5,1092,18
5,1102,50
5,225,4
5,1853,46
5,1356,49
5,238,43
5,109,43
6,419,1
6,215,3
6,1437,28
6,915,9
6,954,28
7,1818,1
7,1348,3
7,1280,15
7,1158,15
7,1561,1
8,618,1
8,204,3
8,1743,20
8,1400,1
8,222,50
9,1307,1
9,866,3
9,1184,26
9,973,38
9,1517,20
10,1095,1
10,257,3
10,651,50
10,1527,1
10,1171,25
10,916,22
11,1451,1
11,1670,3
11,1803,17
11,785,29
11,622,19
11,929,40
11,833,19
11,222,38
11,425,5
11,973,16
11,82,40
11,1418,19
11,1996,11
11,1601,1
12,1095,1
12,191,3
12,1190,12
12,1642,12
12,128,44
12,1031,17
12,1564,30
12,1065,10
12,709,28
12,1263,48
12,741,44
12,1917,1
12,710,48
13,1823,1
13,1303,3
13,109,46
13,1059,26
13,1368,26
13,1101,43
13,20,42
13,407,18
13,883,21
13,1881,7
13,222,48
13,792,24
13,869,29
13,1615,12
14,1230,1
14,223,3
14,688,25
14,792,42
14,435,26
14,121,23
15,1322,1
15,1424,3
15,1743,39
15,282,17
15,252,39
16,450,1
16,1547,3
16,1458,5
16,551,10
16,1555,50
16,284,47
16,729,19
16,1202,19
16,1225,39
16,473,26
16,208,30
17,632,1
17,1614,3
17,435,42
17,994,43
17,1421,2
17,222,49
17,170,12
17,76,43
17,509,1
17,1162,26
18,1502,1
18,1427,3
18,1120,50
18,1225,20
18,1712,24
18,1198,2
18,1194,3
18,392,13
18,410,11
18,70,16
18,91,28
19,1601,1
19,1703,3
19,1368,28
19,765,7
19,689,6
19,648,14
19,54,49
19,73,27
19,974,24
19,1549,39
20,321,1
20,184,3
20,1795,50
20,521,7
20,1643,19
20,1153,49
20,183,23
20,1986,10
20,1519,20
20,1803,5
20,1353,26
20,506,29
20,1213,46
20,407,16
21,281,1
21,1573,3
21,1458,18
21,647,20
21,214,28
21,267,43
21,4,45
21,740,15
21,1213,40
21,1117,30
22,1316,1
22,1696,3
22,1449,3
22,1603,44
22,5,46
22,279,12
22,622,29
23,281,1
23,1547,3
23,429,11
23,1551,1
23,405,26
23,176,27
23,1493,11
23,1070,11
23,1386,13
23,464,42
23,1458,5
23,114,48
23,47,29
23,1441,44
23,600,25
24,971,1
24,1591,3
24,744,1
24,1566,48
24,124,22
24,1220,22
24,1768,5
24,1519,6
24,490,25
24,883,46
25,802,1
25,1317,3
25,76,18
25,1848,14
25,691,2
25,47,38
25,1486,15
25,62,4
26,1451,1
26,1813,3
26,619,12
26,1795,20
26,718,47
26,1146,18
26,851,2
26,152,1
27,1014,1
27,1329,3
27,165,43
27,1768,43
27,1954,16
27,519,28
27,5,24
27,1482,12
27,1296,14
27,1297,1
27,621,41
27,636,3
27,708,14
28,338,1
28,257,3
28,474,49
28,777,39
28,1541,43
28,481,1
28,608,14
28,1855,8
29,216,1
29,875,3
29,1954,18
29,165,38
29,594,30
29,1595,4
29,425,22
29,905,49
29,140,46
29,790,12
29,1146,19
29,354,20
29,653,13
30,111,1
30,1329,3
30,1705,2
30,165,29
30,461,4
30,795,40
30,1420,21
30,1711,7
30,624,38
31,1862,1
31,1966,3
31,1442,14
31,1496,46
31,973,23
31,1968,42
31,369,11
31,1458,17
31,1932,26
31,1795,41
31,402,44
31,1353,20
31,1333,41
31,1368,22
32,1640,1
32,1675,3
32,1061,10
32,91,18
32,283,4
32,1202,26
32,1514,1
32,1712,38
32,1992,18
32,1356,21
32,1448,30
32,1441,10
33,1123,1
33,225,3
33,1075,28
33,109,29
33,503,2
33,1162,6
33,176,16
33,284,22
34,495,1
34,1208,3
34,1146,46
34,633,19
34,1420,22
34,1979,11
